"Date","Price","Open","High","Low","Change %"
"Jun 15, 2020","1.4453","1.4619","1.4758","1.4437","-0.80%"
"Jun 12, 2020","1.4569","1.4584","1.4709","1.4467","-0.13%"
"Jun 11, 2020","1.4588","1.4290","1.4622","1.4274","2.09%"
"Jun 10, 2020","1.4290","1.4368","1.4427","1.4159","-0.54%"
"Jun 09, 2020","1.4368","1.4247","1.4498","1.4198","0.86%"
"Jun 08, 2020","1.4245","1.4347","1.4366","1.4224","-0.72%"
"Jun 05, 2020","1.4349","1.4405","1.4431","1.4257","-0.37%"
"Jun 04, 2020","1.4403","1.4459","1.4532","1.4309","-0.33%"
"Jun 03, 2020","1.4450","1.4503","1.4587","1.4317","-0.35%"
"Jun 02, 2020","1.4501","1.4711","1.4763","1.4494","-1.42%"
"Jun 01, 2020","1.4710","1.5022","1.5048","1.4696","-1.93%"
"May 29, 2020","1.5000","1.5067","1.5127","1.4960","-0.45%"
"May 28, 2020","1.5067","1.5103","1.5180","1.4996","-0.24%"
"May 27, 2020","1.5103","1.5031","1.5223","1.4969","0.47%"
"May 26, 2020","1.5033","1.5281","1.5299","1.4978","-1.61%"
"May 25, 2020","1.5279","1.5339","1.5344","1.5264","-0.14%"
"May 22, 2020","1.5300","1.5232","1.5372","1.5202","0.44%"
"May 21, 2020","1.5232","1.5158","1.5272","1.5151","0.50%"
"May 20, 2020","1.5156","1.5295","1.5326","1.5112","-0.92%"
"May 19, 2020","1.5297","1.5328","1.5362","1.5185","-0.22%"
"May 18, 2020","1.5330","1.5565","1.5603","1.5317","-1.66%"
"May 15, 2020","1.5589","1.5475","1.5623","1.5443","0.73%"
"May 14, 2020","1.5475","1.5499","1.5618","1.5459","-0.11%"
"May 13, 2020","1.5491","1.5448","1.5535","1.5324","0.23%"
"May 12, 2020","1.5456","1.5409","1.5550","1.5297","0.30%"
"May 11, 2020","1.5409","1.5316","1.5489","1.5238","0.62%"
"May 08, 2020","1.5314","1.5396","1.5403","1.5270","-0.55%"
"May 07, 2020","1.5399","1.5625","1.5681","1.5369","-1.43%"
"May 06, 2020","1.5623","1.5549","1.5644","1.5494","0.49%"
"May 05, 2020","1.5547","1.5554","1.5586","1.5438","-0.08%"
"May 04, 2020","1.5560","1.5575","1.5695","1.5539","-0.13%"
"May 01, 2020","1.5579","1.5359","1.5603","1.5354","1.44%"
"Apr 30, 2020","1.5359","1.5250","1.5409","1.5220","0.69%"
"Apr 29, 2020","1.5253","1.5406","1.5419","1.5247","-0.99%"
"Apr 28, 2020","1.5406","1.5468","1.5545","1.5348","-0.40%"
"Apr 27, 2020","1.5468","1.5657","1.5679","1.5450","-1.21%"
"Apr 24, 2020","1.5657","1.5697","1.5783","1.5627","-0.26%"
"Apr 23, 2020","1.5698","1.5814","1.5917","1.5606","-0.72%"
"Apr 22, 2020","1.5812","1.5924","1.5934","1.5742","-0.68%"
"Apr 21, 2020","1.5921","1.5783","1.5993","1.5753","0.88%"
"Apr 20, 2020","1.5782","1.5731","1.5791","1.5628","0.42%"
"Apr 17, 2020","1.5716","1.5806","1.5839","1.5661","-0.53%"
"Apr 16, 2020","1.5800","1.5826","1.5964","1.5788","-0.16%"
"Apr 15, 2020","1.5826","1.5523","1.5916","1.5517","1.95%"
"Apr 14, 2020","1.5523","1.5669","1.5689","1.5515","-0.93%"
"Apr 13, 2020","1.5669","1.5758","1.5809","1.5601","-0.53%"
"Apr 10, 2020","1.5753","1.5770","1.5841","1.5700","-0.13%"
"Apr 09, 2020","1.5774","1.6056","1.6143","1.5716","-1.71%"
"Apr 08, 2020","1.6049","1.6212","1.6353","1.6010","-0.99%"
"Apr 07, 2020","1.6209","1.6425","1.6462","1.6106","-1.34%"
"Apr 06, 2020","1.6429","1.6638","1.6693","1.6374","-1.50%"
"Apr 03, 2020","1.6678","1.6501","1.6724","1.6456","1.07%"
"Apr 02, 2020","1.6501","1.6474","1.6650","1.6339","0.18%"
"Apr 01, 2020","1.6472","1.6306","1.6560","1.6197","1.07%"
"Mar 31, 2020","1.6298","1.6197","1.6450","1.6092","0.56%"
"Mar 30, 2020","1.6207","1.6265","1.6362","1.6167","-0.06%"
"Mar 27, 2020","1.6218","1.6486","1.6604","1.6127","-1.64%"
"Mar 26, 2020","1.6488","1.6780","1.7038","1.6424","-1.75%"
"Mar 25, 2020","1.6782","1.6788","1.6862","1.6464","-0.01%"
"Mar 24, 2020","1.6784","1.7148","1.7209","1.6733","-2.18%"
"Mar 23, 2020","1.7158","1.7244","1.7543","1.7107","-0.50%"
"Mar 20, 2020","1.7244","1.7414","1.7656","1.6702","-0.99%"
"Mar 19, 2020","1.7416","1.7325","1.8159","1.6766","0.84%"
"Mar 18, 2020","1.7271","1.6695","1.7535","1.6591","3.63%"
"Mar 17, 2020","1.6666","1.6348","1.6784","1.6263","1.96%"
"Mar 16, 2020","1.6345","1.6295","1.6447","1.5825","1.08%"
"Mar 13, 2020","1.6171","1.6036","1.6337","1.5805","0.85%"
"Mar 12, 2020","1.6034","1.5420","1.6093","1.5398","3.98%"
"Mar 11, 2020","1.5420","1.5366","1.5433","1.5289","0.32%"
"Mar 10, 2020","1.5371","1.5177","1.5473","1.5119","1.24%"
"Mar 09, 2020","1.5182","1.5086","1.5817","1.4954","0.99%"
"Mar 06, 2020","1.5033","1.5119","1.5186","1.5017","-0.56%"
"Mar 05, 2020","1.5117","1.5090","1.5188","1.5065","0.18%"
"Mar 04, 2020","1.5090","1.5190","1.5204","1.5085","-0.66%"
"Mar 03, 2020","1.5191","1.5291","1.5364","1.5045","-0.65%"
"Mar 02, 2020","1.5291","1.5415","1.5488","1.5220","-0.46%"
"Feb 28, 2020","1.5361","1.5223","1.5542","1.5181","0.91%"
"Feb 27, 2020","1.5223","1.5281","1.5283","1.5165","-0.38%"
"Feb 26, 2020","1.5281","1.5143","1.5289","1.5131","0.95%"
"Feb 25, 2020","1.5137","1.5137","1.5184","1.5096","-0.02%"
"Feb 24, 2020","1.5140","1.5085","1.5193","1.5085","0.34%"
"Feb 21, 2020","1.5088","1.5115","1.5184","1.5058","-0.18%"
"Feb 20, 2020","1.5115","1.4983","1.5128","1.4932","0.91%"
"Feb 19, 2020","1.4979","1.4954","1.5004","1.4905","0.16%"
"Feb 18, 2020","1.4955","1.4897","1.4990","1.4890","0.41%"
"Feb 17, 2020","1.4894","1.4894","1.4898","1.4848","0.01%"
"Feb 14, 2020","1.4892","1.4887","1.4907","1.4852","0.06%"
"Feb 13, 2020","1.4883","1.4841","1.4910","1.4821","0.28%"
"Feb 12, 2020","1.4841","1.4894","1.4898","1.4810","-0.36%"
"Feb 11, 2020","1.4894","1.4956","1.4968","1.4841","-0.41%"
"Feb 10, 2020","1.4955","1.4965","1.5018","1.4905","-0.21%"
"Feb 07, 2020","1.4987","1.4858","1.5009","1.4840","0.87%"
"Feb 06, 2020","1.4858","1.4820","1.4864","1.4779","0.23%"
"Feb 05, 2020","1.4824","1.4842","1.4872","1.4759","-0.10%"
