Code
AVOD
ACSEL
ADEL
ADESE
AFYON
AGHOL
AKBNK
AKCNS
AKENR
AKFGY
ATEKS
AKSGY
AKMGY
AKSA
AKSEN
AKGRT
AKSUE
ALCAR
ALGYO
ALARK
ALBRK
ALKIM
ALKA
AYCES
ANSGR
AEFES
ANHYT
ASUZU
ANELE
ARCLK
ARDYZ
ARENA
ARMDA
ARSAN
ARTI
ASELS
ATAGY
AGYO
ATSYH
ATLAS
AVGYO
AVTUR
AVHOL
AYEN
AYES
AYGAZ
BAGFS
BAKAB
BALAT
BNTAS
BANVT
BASCM
BTCIM
BSOKE
BERA
BRKSN
BJKAS
BEYAZ
BLCYT
BIMAS
BRKO
BRMEN
BIZIM
BRSAN
BRYAT
BFREN
BOSSA
BRISA
BURCE
BURVA
BUCIM
CRFSA
CEOEM
CCOLA
COSMO
CRDFA
CLEBI
CEMAS
CEMTS
CMBTN
CMENT
CIMSA
CUSAN
DAGI
DAGHL
DARDL
DGATE
DMSAS
DENGE
DZGYO
DERIM
DESA
DESPC
DEVA
DIRIT
DITAS
DOCO
DOBUR
DOHOL
DOGUB
DGGYO
DOAS
DOKTA
DURDO
DYOBY
ECZYT
EGEEN
EGGUB
EGPRO
EGSER
EGCEY
EGCYO
EGCYH
EPLAS
ECILC
EKIZ
EMKEL
EMNIS
EKGYO
ENJSA
ENKAI
ERBOS
EREGL
ERSU
ETILR
EUKYO
EUYO
ETYAT
EUHOL
FMIZP
FENER
FLAP
FONET
FROTO
FORMT
FRIGO
GSRAY
GARFA
GRNYO
GEDIK
GEDZA
GENTS
GEREL
GLBMD
GLYHO
GOODY
GOLTS
GOZDE
GSDDE
GSDHO
GUBRF
GLRYH
SAHOL
HATEK
HDFGS
HEKTS
HUBVC
HURGZ
ICBCT
IEYHO
IDEAS
IDGYO
IHEVA
IHLGM
IHGZT
IHLAS
IHYAY
INDES
INFO
INTEM
IPEKE
ISDMR
ISGYO
ISMEN
ISYAT
ISBIR
ITTFH
IZMDC
IZFAS
JANTS
KFEIN
KAPLM
KRDMA
KRDMB
KRDMD
KAREL
KARSN
KRTEK
KARTN
KATMR
KENT
KERVT
KERVN
KLGYO
KLMSN
KCHOL
KNFRT
KONYA
KORDS
KOZAL
KOZAA
KRGYO
KRSTL
KRONT
KUYAS
KUTPO
LIDFA
LINK
LOGO
LKMNH
LUKSK
MAKTK
MARKA
MAALT
MRSHL
MRGYO
MARTI
MAVI
MZHLD
MEGAP
MNDRS
MEMSA
MEPET
MERIT
MERKO
METAL
METUR
METRO
MTRYO
MGROS
MIPAZ
MSGYO
MPARK
MMCAS
TIRE
NATEN
NTHOL
NETAS
NIBAS
NUHCM
NUGYO
ODAS
ORGE
ORMA
OSMEN
OSTIM
OTKAR
OYAYO
OYLUM
OZKGY
OZGYO
OZRDN
PAGYO
PAPIL
PRKME
PARSN
PGSUS
PEKGY
PENGD
PEGYO
PSDTC
PETKM
PKENT
PETUN
PINSU
PNSUT
PKART
POLHO
POLTK
PRZMA
QNBFL
QNBFB
RALYH
RAYSG
RYGYO
RYSAS
RHEAG
RODRG
ROYAL
RTALB
SAFKR
SALIX
SANEL
SANFM
SANKO
SAMAT
SARKY
SASA
SAYAS
SEKUR
SELEC
SELGD
SNKRN
SERVE
SRVGY
SEYKM
SILVR
SNGYO
SMART
SODSN
SKTAS
SONME
SNPAM
SUMAS
SEKFK
SKBNK
SOKM
TATGD
TAVHL
TKFEN
TKNSA
TMPOL
TGSAS
TOASO
TRGYO
TLMAN
TSPOR
TDGYO
TSGYO
TUCLK
TUKAS
TRCAS
TCELL
TMSN
TUPRS
THYAO
PRKAB
TTKOM
TTRAK
TBORG
TURGG
GARAN
HALKB
ISCTR
KLNMA
TSKB
SISE
VAKBN
UFUK
ULAS
ULUUN
UMPAS
USAK
UTPYA
UZERB
ULKER
VAKFN
VKGYO
VAKBN
VAKKO
VANGD
VERUS
VERTU
VESBE
VESTL
VKING
YKBNK
YAPRK
YATAS
YAYLA
YGGYO
YGYO
YYAPI
YESIL
YBTAS
YONGA
YKSLN
YUNSA
ZOREN
